epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,7622.79,0.63826,0.34645,0.87364,0.98343,0.94713,0.97439,0.80396,0.5243,0.2519,0.82775,0.00450682,0.00450682,0.00450682
109,7693.05,0.63682,0.3438,0.87217,0.98289,0.94727,0.9746,0.80538,0.52326,0.251,0.82755,0.0044296,0.0044296,0.0044296
110,7763.35,0.63794,0.3443,0.87323,0.98178,0.9475,0.97493,0.80463,0.52298,0.25063,0.82743,0.00435254,0.00435254,0.00435254
111,7833.82,0.63964,0.34435,0.87215,0.98193,0.94748,0.97451,0.80441,0.52262,0.25042,0.82732,0.00427565,0.00427565,0.00427565
112,7904.2,0.6337,0.34079,0.87097,0.98166,0.94779,0.97449,0.80704,0.52214,0.25044,0.82725,0.00419895,0.00419895,0.00419895
113,7974.73,0.63328,0.33995,0.86985,0.9821,0.94785,0.9745,0.80698,0.52172,0.25022,0.82707,0.00412246,0.00412246,0.00412246
114,8045.17,0.63116,0.34137,0.87375,0.98376,0.94654,0.97457,0.80692,0.5212,0.2502,0.82697,0.0040462,0.0040462,0.0040462
115,8115.38,0.63033,0.33978,0.87011,0.98359,0.94544,0.97534,0.80788,0.52035,0.25003,0.82666,0.00397019,0.00397019,0.00397019
116,8186.4,0.62636,0.33632,0.86835,0.98366,0.94531,0.97448,0.80785,0.51984,0.24976,0.8265,0.00389445,0.00389445,0.00389445
117,8257.43,0.62902,0.33648,0.86883,0.98317,0.94549,0.97531,0.80827,0.51945,0.24932,0.82644,0.00381899,0.00381899,0.00381899
118,8328.22,0.62325,0.33286,0.86795,0.98776,0.94188,0.97544,0.80719,0.519,0.24959,0.82631,0.00374383,0.00374383,0.00374383
119,8398.67,0.62193,0.33313,0.86717,0.98778,0.94204,0.97548,0.8055,0.51882,0.24944,0.82623,0.00366899,0.00366899,0.00366899
120,8469.2,0.62303,0.33136,0.86851,0.9887,0.94173,0.97558,0.80656,0.51826,0.24894,0.82621,0.0035945,0.0035945,0.0035945
121,8540.12,0.6196,0.33171,0.86521,0.98861,0.942,0.97565,0.80665,0.51798,0.24868,0.82606,0.00352037,0.00352037,0.00352037
